parsed feature trees: 3011
sequence regions: 20 (total length: 713365500)
genes: 2991
protein-coding genes: 1332
exons: 20154
CDSs: 10072
exon number distribution:
1: 70 (prob=0.0234,cumulative=0.0234)
2: 413 (prob=0.1381,cumulative=0.1615)
3: 462 (prob=0.1545,cumulative=0.3159)
4: 403 (prob=0.1347,cumulative=0.4507)
5: 365 (prob=0.1220,cumulative=0.5727)
6: 248 (prob=0.0829,cumulative=0.6556)
7: 188 (prob=0.0629,cumulative=0.7185)
8: 139 (prob=0.0465,cumulative=0.7650)
9: 116 (prob=0.0388,cumulative=0.8037)
10: 109 (prob=0.0364,cumulative=0.8402)
11: 71 (prob=0.0237,cumulative=0.8639)
12: 49 (prob=0.0164,cumulative=0.8803)
13: 65 (prob=0.0217,cumulative=0.9020)
14: 48 (prob=0.0160,cumulative=0.9181)
15: 34 (prob=0.0114,cumulative=0.9295)
16: 32 (prob=0.0107,cumulative=0.9402)
17: 29 (prob=0.0097,cumulative=0.9498)
18: 17 (prob=0.0057,cumulative=0.9555)
19: 9 (prob=0.0030,cumulative=0.9585)
20: 10 (prob=0.0033,cumulative=0.9619)
21: 12 (prob=0.0040,cumulative=0.9659)
22: 12 (prob=0.0040,cumulative=0.9699)
23: 11 (prob=0.0037,cumulative=0.9736)
24: 5 (prob=0.0017,cumulative=0.9753)
25: 5 (prob=0.0017,cumulative=0.9769)
26: 6 (prob=0.0020,cumulative=0.9789)
27: 10 (prob=0.0033,cumulative=0.9823)
28: 3 (prob=0.0010,cumulative=0.9833)
29: 6 (prob=0.0020,cumulative=0.9853)
30: 8 (prob=0.0027,cumulative=0.9880)
31: 3 (prob=0.0010,cumulative=0.9890)
32: 4 (prob=0.0013,cumulative=0.9903)
33: 4 (prob=0.0013,cumulative=0.9916)
34: 2 (prob=0.0007,cumulative=0.9923)
35: 3 (prob=0.0010,cumulative=0.9933)
37: 2 (prob=0.0007,cumulative=0.9940)
39: 1 (prob=0.0003,cumulative=0.9943)
40: 3 (prob=0.0010,cumulative=0.9953)
41: 5 (prob=0.0017,cumulative=0.9970)
42: 3 (prob=0.0010,cumulative=0.9980)
44: 1 (prob=0.0003,cumulative=0.9983)
45: 2 (prob=0.0007,cumulative=0.9990)
46: 1 (prob=0.0003,cumulative=0.9993)
48: 1 (prob=0.0003,cumulative=0.9997)
51: 1 (prob=0.0003,cumulative=1.0000)
