a) Kmer (55555,9,0)
a) Kmer (55555,10,0)
a) Kmer (55555,11,0)
a) Kmer (55555,12,0)
a) Kmer (55555,13,0)
a) Kmer (55555,9,1)
a) Kmer (55555,20,1)
a) Kmer (55555,21,1)
a) Kmer (AAAAA,9,2)
a) Kmer (AAAAA,10,2)
a) Kmer (AAAAA,11,2)
a) Kmer (AAAAA,12,2)
b) Kmer (55555,9,0)
b) Kmer (55555,10,0)
b) Kmer (55555,11,0)
b) Kmer (55555,12,0)
b) Kmer (55555,13,0)
b) Kmer (55555,9,1)
b) Kmer (55555,20,1)
b) Kmer (55555,21,1)
b) Kmer (55555,9,2)
b) Kmer (55555,10,2)
b) Kmer (55555,11,2)
b) Kmer (55555,12,2)
b) Kmer (AAAAA,9,2)
b) Kmer (AAAAA,10,2)
b) Kmer (AAAAA,11,2)
b) Kmer (AAAAA,12,2)
b) Kmer (AAAAA,9,0)
b) Kmer (AAAAA,10,0)
b) Kmer (AAAAA,11,0)
b) Kmer (AAAAA,12,0)
b) Kmer (AAAAA,13,0)
b) Kmer (AAAAA,9,1)
b) Kmer (AAAAA,20,1)
b) Kmer (AAAAA,21,1)
SeedPair (0,1,9,9)
SeedPair (0,1,10,9)
SeedPair (0,1,11,9)
SeedPair (0,1,12,9)
SeedPair (0,1,13,9)
SeedPair (0,1,9,20)
SeedPair (0,1,10,20)
SeedPair (0,1,11,20)
SeedPair (0,1,12,20)
SeedPair (0,1,13,20)
SeedPair (0,1,9,21)
SeedPair (0,1,10,21)
SeedPair (0,1,11,21)
SeedPair (0,1,12,21)
SeedPair (0,1,13,21)
SeedPair (0,2,9,9)
SeedPair (0,2,10,9)
SeedPair (0,2,11,9)
SeedPair (0,2,12,9)
SeedPair (0,2,13,9)
SeedPair (0,2,9,10)
SeedPair (0,2,10,10)
SeedPair (0,2,11,10)
SeedPair (0,2,12,10)
SeedPair (0,2,13,10)
SeedPair (0,2,9,11)
SeedPair (0,2,10,11)
SeedPair (0,2,11,11)
SeedPair (0,2,12,11)
SeedPair (0,2,13,11)
SeedPair (0,2,9,12)
SeedPair (0,2,10,12)
SeedPair (0,2,11,12)
SeedPair (0,2,12,12)
SeedPair (0,2,13,12)
SeedPair (1,1,9,20)
SeedPair (1,1,9,21)
SeedPair (1,2,9,9)
SeedPair (1,2,20,9)
SeedPair (1,2,21,9)
SeedPair (1,2,9,10)
SeedPair (1,2,20,10)
SeedPair (1,2,21,10)
SeedPair (1,2,9,11)
SeedPair (1,2,20,11)
SeedPair (1,2,21,11)
SeedPair (1,2,9,12)
SeedPair (1,2,20,12)
SeedPair (1,2,21,12)
