seqid1	seqid2	startpos1	startpos2	endpos1	endpos2	weight
3	101	0	0	632	632	1266
3	149	273	0	632	359	720
101	149	273	0	632	359	720
46	47	0	0	1289	1289	2580
26	27	254	0	359	105	212
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
2	100	511	613	776	878	532
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
2	100	511	613	776	878	532
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
46	47	0	0	1289	1289	2580
26	27	254	0	359	105	212
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
46	47	0	0	1289	1289	2580
26	27	254	0	359	105	212
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
2	100	511	613	776	878	532
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
2	100	511	613	776	878	532
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
101	149	273	0	632	359	720
46	47	0	0	1289	1289	2580
26	27	254	0	359	105	212
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
2	100	511	613	776	878	532
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
101	149	273	0	632	359	720
46	47	0	0	1289	1289	2580
26	27	254	0	359	105	212
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
2	100	511	613	776	878	532
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
101	149	273	0	632	359	720
46	47	0	0	1289	1289	2580
26	27	254	0	359	105	212
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
2	100	511	613	776	878	532
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
46	47	0	0	1289	1289	2580
26	27	254	0	359	105	212
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
2	100	511	613	776	878	532
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
2	100	511	613	776	878	532
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
101	149	273	0	632	359	720
46	47	0	0	1289	1289	2580
26	27	254	0	359	105	212
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
2	100	511	613	776	878	532
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
101	149	273	0	632	359	720
46	47	0	0	1289	1289	2580
26	27	254	0	359	105	212
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
2	100	511	613	776	878	532
2	100	90	192	509	611	840
2	100	511	613	776	878	532
4	102	0	0	527	527	1056
141	141	1206	1533	1415	1742	420
2	100	90	192	509	611	840
2	100	511	613	776	878	532
