query	dbname2	q.startpos	d.startpos	q.endpos	d.endpos	bit score	evalue	ali length
GT_PARSER_TEST	gi|321400062|ref|NM_001202523.1|	281	1191	1330	2240	2081.000	0	1050
GT_PARSER_TEST	gi|321400062|ref|NM_001202523.1|	1412	1088	1423	1077	24.300	0.89	12
GT_PARSER_TEST	gi|321400062|ref|NM_001202523.1|	315	2611	326	2622	24.300	0.89	12
GT_PARSER_TEST	gi|321400062|ref|NM_001202523.1|	945	258	955	268	22.300	3.5	11
GT_PARSER_TEST	gi|321400062|ref|NM_001202523.1|	1253	342	1263	332	22.300	3.5	11
GT_PARSER_TEST	gi|321400062|ref|NM_001202523.1|	1067	759	1077	769	22.300	3.5	11
GT_PARSER_TEST	gi|321400135|ref|NG_001764.3|	1	421	280	700	555.000	1e-160	280
GT_PARSER_TEST	gi|321400135|ref|NG_001764.3|	185	5472	244	5531	95.600	3e-22	60
GT_PARSER_TEST	gi|321400135|ref|NG_001764.3|	606	3223	621	3238	24.300	0.89	16
GT_PARSER_TEST	gi|321400135|ref|NG_001764.3|	1031	1624	1041	1614	22.300	3.5	11
GT_PARSER_TEST	gi|321400135|ref|NG_001764.3|	955	2544	965	2534	22.300	3.5	11
GT_PARSER_TEST	gi|321400135|ref|NG_001764.3|	612	3213	622	3223	22.300	3.5	11
GT_PARSER_TEST	gi|321400135|ref|NG_001764.3|	1189	4279	1199	4269	22.300	3.5	11
GT_PARSER_TEST	gi|321400135|ref|NG_001764.3|	136	5257	146	5247	22.300	3.5	11
GT_PARSER_TEST	gi|321400135|ref|NG_001764.3|	398	5378	408	5368	22.300	3.5	11
GT_PARSER_TEST	gi|321267542|ref|NM_001202506.1|	1331	141	1458	268	254.000	5e-70	128
GT_PARSER_TEST	gi|321267542|ref|NM_001202506.1|	1385	206	1396	195	24.300	0.89	12
GT_PARSER_TEST	gi|321267542|ref|NM_001202506.1|	939	908	949	898	22.300	3.5	11
GT_PARSER_TEST	gi|321400152|ref|NM_001025241.3|	91	327	101	317	22.300	3.5	11
