##gff-version 3
##sequence-region   ctg123 1 1497228
# comment
ctg123	GFF3spec	gene	1000	9000	0.5	+	.	ID=gene1
ctg123	GFF3spec	TF_binding_site	1000	1012	.	+	.	Parent=gene1
ctg123	GFF3spec	mRNA	1050	9000	.	+	.	ID=mRNA1;Parent=gene1
ctg123	GFF3spec	exon	1050	1500	.	+	.	Parent=mRNA1
ctg123	GFF3spec	intron	1501	2999	.	+	.	Parent=mRNA1
ctg123	GFF3spec	exon	3000	3902	.	+	.	Parent=mRNA1
ctg123	GFF3spec	intron	3903	4999	.	+	.	Parent=mRNA1
ctg123	GFF3spec	exon	5000	5500	.	+	.	Parent=mRNA1
ctg123	GFF3spec	intron	5501	6999	.	+	.	Parent=mRNA1
ctg123	GFF3spec	exon	7000	9000	.	+	.	Parent=mRNA1
ctg123	GFF3spec	mRNA	1050	9000	.	+	.	ID=mRNA2;Parent=gene1
ctg123	GFF3spec	exon	1050	1500	.	+	.	Parent=mRNA2
ctg123	GFF3spec	intron	1501	4999	.	+	.	Parent=mRNA2
ctg123	GFF3spec	exon	5000	5500	.	+	.	Parent=mRNA2
ctg123	GFF3spec	intron	5501	6999	.	+	.	Parent=mRNA2
ctg123	GFF3spec	exon	7000	9000	.	+	.	Parent=mRNA2
ctg123	GFF3spec	mRNA	1300	9000	.	+	.	ID=mRNA3;Parent=gene1
ctg123	GFF3spec	exon	1300	1500	.	+	.	Parent=mRNA3
ctg123	GFF3spec	intron	1501	2999	.	+	.	Parent=mRNA3
ctg123	GFF3spec	exon	3000	3902	.	+	.	Parent=mRNA3
ctg123	GFF3spec	intron	3903	4999	.	+	.	Parent=mRNA3
ctg123	GFF3spec	exon	5000	5500	.	+	.	Parent=mRNA3
ctg123	GFF3spec	intron	5501	6999	.	+	.	Parent=mRNA3
ctg123	GFF3spec	exon	7000	9000	.	+	.	Parent=mRNA3
###
